NAME,"RATING","VOTES","GENRE","YEAR"
испытание невиновностью,7.198,2199,"триллер, драма, детектив",2018
операция сатана,7.197,1737,"детектив, криминал",2018
дикая груша,7.196,559,"драма",2018
падмавати,7.191,899,"драма, мелодрама, военный",2018
медное солнце,7.187,1018,"военный, драма",2018
миссия невыполнима последствия,7.181,53255,"боевик, триллер, приключения",2018
рома,7.179,11081,"драма",2018
можно только представить,7.177,2666,"драма, биография, музыка",2018
алиенист,7.175,6473,"драма, детектив",2018
доктор хэрроу,7.174,1238,"драма",2018
бергман,7.167,510,"документальный",2018
академия смерти,7.16,2962,"боевик, триллер, драма",2018
данила поперечный нелицеприятный,7.154,630,"комедия, концерт",2018
завод,7.15,26864,"криминал, драма, триллер",2018
во время грозы,7.15,5219,"триллер, драма, фэнтези",2018
каслрок,7.135,13071,"триллер, ужасы, фэнтези",2018
мистериум журнал 64,7.127,2831,"триллер, криминал, детектив",2018
безопасность,7.123,2200,"драма, детектив",2018
хорошие девчонки,7.122,780,"драма, комедия, криминал",2018
где соприкасаются руки,7.121,790,"драма, мелодрама, военный",2018
война анны,7.113,1793,"драма, военный",2018
вольная грамота,7.103,1099,"история, мелодрама",2018
паранормальный веллингтон,7.101,2089,"ужасы, фэнтези, комедия",2018
тайная жизнь пингвинов,7.101,1717,"аниме, мультфильм, фэнтези",2018
ральф против интернета,7.097,32369,"мультфильм, комедия, приключения",2018
после лета,7.095,615,"документальный",2018
быть астрид линдгрен,7.092,3491,"драма, биография",2018
всем парням которых я любила раньше,7.089,7826,"драма, мелодрама",2018
paradise pd,7.087,1117,"мультфильм, комедия, криминал",2018
человек на луне,7.086,33643,"драма, биография, история",2018
ненастье,7.084,2013,"драма",2018
фитнес,7.079,1907,"комедия",2018
ничего хорошего в отеле эль рояль,7.078,57450,"триллер, драма, криминал",2018
ван гог на пороге вечности,7.077,8423,"драма, биография",2018
звоните дикаприо,7.074,10757,"комедия, драма",2018
наркокурьер,7.071,28144,"триллер, драма, криминал",2018
игры разумов,7.07,13286,"триллер, драма, детектив",2018
сплошной отстой,7.067,1260,"комедия",2018
генезис 20,7.059,660,"документальный",2018
власть,7.055,18888,"драма, комедия, биография",2018
дом который построил джек,7.053,43067,"ужасы, драма, криминал",2018
мирай из будущего,7.053,3957,"аниме, мультфильм, приключения",2018
убийца 2 против всех,7.052,21064,"боевик, триллер, драма",2018
смолфут,7.047,14839,"мультфильм, мюзикл, фэнтези",2018
шифр,7.045,919,"детектив",2018
братья систерс,7.041,23729,"драма, комедия, криминал",2018
убийца гоблинов,7.038,1055,"аниме, мультфильм, боевик",2018
гранд,7.033,2633,"комедия",2018
хрусталь,7.028,6208,"драма, комедия",2018
возвращение домой,7.016,1229,"триллер, драма",2018
закатать в асфальт,7.013,9206,"триллер, драма, криминал",2018
ночные игры,7.009,53468,"боевик, комедия, криминал",2018
доктор кто женщина которая упала на землю,7.008,562,"фантастика, драма, приключения",2018
рождественские хроники,7.005,7341,"фэнтези, комедия, приключения",2018
история одного назначения,6.998,9194,"драма",2018
не волнуйся он далеко не уйдет,6.995,8313,"драма, комедия, биография",2018
лучше чем люди,6.993,2785,"драма, фантастика",2018
великий соблазнитель,6.987,522,"драма, мелодрама",2018
иллюзия,6.981,1527,"триллер, драма, криминал",2018
константин город демонов,6.981,999,"мультфильм, ужасы, фэнтези",2018
айка,6.973,3072,"драма",2018
миа и белый лев,6.972,2735,"драма, приключения, семейный",2018
кондор,6.965,1155,"боевик, триллер, драма",2018
тяжёлая поездка,6.964,2061,"комедия, музыка",2018
пылающий,6.963,12534,"детектив, триллер, драма",2018
ярмарка тщеславия,6.958,579,"драма",2018
астерикс и тайное зелье,6.957,3970,"мультфильм, фэнтези",2018
квнщики,6.946,4527,"драма, комедия",2018
хрустальное небо вчерашнего дня,6.945,696,"мультфильм, мелодрама, драма",2018
лоро,6.944,4175,"биография, драма",2018
бог меня зафрендил,6.942,661,"драма, комедия",2018
наследники,6.94,596,"драма",2018
подкидыш,6.938,1168,"детектив",2018
хан соло звёздные войны истории,6.915,50739,"фантастика, фэнтези, боевик",2018
открытие ведьм,6.91,3744,"фэнтези, драма, мелодрама",2018
черное зеркало брандашмыг,6.901,10606,"фантастика, триллер, драма",2018
человекмуравей и оса,6.9,71472,"фантастика, боевик, комедия",2018
mamma mia 2,6.9,13227,"мюзикл, мелодрама, комедия",2018
гурзуф,6.898,1214,"детектив, история",2018
другие,6.893,887,"драма",2018
я худею,6.892,60969,"комедия",2018
чужая ненависть,6.892,1971,"драма, криминал",2018
дикая жизнь,6.882,9695,"драма",2018
шедевр,6.878,2132,"драма, комедия",2018
король вне закона,6.875,8199,"боевик, драма, военный",2018
по половому признаку,6.874,2849,"драма, биография",2018
аквамен,6.871,84059,"фантастика, фэнтези, боевик",2018
алжир,6.87,604,"история, драма",2018
большая игра,6.869,1278,"комедия, спорт",2018
громкая связь,6.868,27419,"комедия",2018
по воле божьей,6.856,1611,"драма",2018
семь секунд,6.856,714,"драма, криминал",2018
sпарта,6.824,1972,"драма, детектив",2018
смерть супермена,6.824,1191,"мультфильм, фантастика, боевик",2018
возмездие,6.818,861,"драма, боевик",2018
следующее поколение,6.805,2224,"мультфильм, фантастика, боевик",2018
импульс,6.805,1107,"фантастика, боевик",2018
30 безумных желаний,6.802,4559,"драма, комедия, приключения",2018
происхождение,6.801,2612,"ужасы, фантастика",2018
веном,6.799,118971,"боевик, фантастика, триллер",2018
кролик питер,6.791,13360,"мультфильм, фэнтези, комедия",2018
без меня,6.79,15849,"драма, мелодрама",2018
сможете ли вы меня простить,6.79,4932,"драма, комедия, биография",2018
наше время,6.788,860,"драма",2018
птичий короб,6.787,32562,"ужасы, фантастика, драма",2018
сердце мира,6.785,3757,"драма",2018
попробуй подкати,6.776,3434,"мелодрама, комедия",2018
во власти стихии,6.77,18256,"боевик, триллер, драма",2018
отряд самоубийц строгое наказание,6.77,1517,"мультфильм, фантастика, фэнтези",2018
черный клановец,6.765,30588,"драма, криминал, биография",2018
человек который удивил всех,6.765,3796,"драма",2018
человек который убил дон кихота,6.759,9452,"фэнтези, драма, комедия",2018
100 вещей и ничего лишнего,6.759,5912,"комедия",2018
затерянные во льдах,6.757,8486,"драма, приключения",2018
полночное солнце,6.742,7509,"драма, мелодрама",2018
вернуть бена,6.741,2830,"драма",2018
тихое место,6.73,76675,"ужасы, фантастика, драма",2018
майянцы,6.729,608,"триллер, драма, криминал",2018
гринч,6.727,17424,"мультфильм, фэнтези, комедия",2018
тренер,6.725,39461,"драма, спорт",2018
берёзка,6.725,684,"мелодрама",2018
ван гоги,6.724,2706,"драма",2018
о чём говорят мужчины продолжение,6.721,35094,"комедия",2018
американские животные,6.719,4017,"триллер, драма, криминал",2018
охота на воров,6.715,21075,"боевик, триллер, драма",2018
год культуры,6.715,4344,"комедия",2018
простая просьба,6.714,41978,"триллер, драма, комедия",2018
мой друг зигмунд фрейд,6.714,518,"драма",2018
зановородиться,6.708,947,"драма, музыка",2018
великая битва,6.706,523,"боевик, военный, история",2018
между рядами,6.703,3222,"драма",2018
свидетели,6.701,970,"драма, история",2018
мажор 3,6.687,8706,"драма, криминал",2018
22 июля,6.679,2122,"триллер, драма, криминал",2018
невероятные приключения факира,6.677,2317,"комедия, приключения",2018
непрощенный,6.668,18825,"драма",2018
звонок мертвецу,6.668,6558,"ужасы, боевик, триллер",2018
восьмой класс,6.667,3371,"драма, комедия",2018
догмэн,6.655,3372,"триллер, драма, криминал",2018
наследие,6.654,2532,"фэнтези, драма, детектив",2018
спящие 2,6.653,838,"триллер",2018
крид 2,6.65,12706,"драма, спорт",2018
полицейский с рублёвки новогодний беспредел,6.649,29780,"комедия",2018
колетт,6.648,6999,"драма, биография, история",2018
манифест,6.648,4939,"драма, детектив",2018
рассказ,6.644,2787,"триллер, драма, детектив",2018
т34,6.64,44552,"драма, военный, приключения",2018
тень,6.639,1520,"драма, боевик",2018
привидение,6.637,8475,"фэнтези, драма, мелодрама",2018
непотопляемые,6.633,1559,"драма, комедия, спорт",2018
мост,6.628,518,"детектив",2018
руслан и людмила перезагрузка,6.625,897,"мультфильм, фэнтези, комедия",2018
ангел,6.618,3402,"драма, криминал, биография",2018
слепые пятна,6.613,2254,"драма, комедия, криминал",2018
фантастические твари преступления гриндевальда,6.598,90312,"фэнтези, приключения, семейный",2018
воспитательница,6.598,2710,"драма",2018
ты водишь,6.597,34866,"комедия",2018
планета зверей,6.591,3104,"драма, приключения, триллер",2018
безумно богатые азиаты,6.585,6969,"драма, мелодрама, комедия",2018
альфа,6.575,25190,"драма, приключения, семейный",2018
малышка,6.574,820,"драма",2018
великий уравнитель 2,6.571,25530,"боевик, триллер, криминал",2018
не оставляй следов,6.571,3938,"драма",2018
пассажир,6.569,33809,"боевик, триллер, детектив",2018
вечеринка только начинается,6.569,692,"драма, комедия",2018
довлатов,6.567,13380,"драма, мелодрама",2018
три лица,6.564,500,"драма",2018
монстры на каникулах 3 море зовёт,6.558,24444,"мультфильм, фэнтези, комедия",2018
во всё тяжкое,6.558,1854,"драма, комедия",2018
ночь идёт за нами,6.557,2433,"боевик, триллер, криминал",2018
юморист,6.555,8501,"драма, биография",2018
король лир,6.551,552,"драма, история",2018
властелины хаоса,6.543,1607,"драма, биография, криминал",2018
затерянные в космосе,6.542,2638,"фантастика, драма, детектив",2018
когда мы познакомились,6.541,4593,"фэнтези, мелодрама, комедия",2018
папа сдохни,6.54,4016,"комедия",2018
глубокие реки,6.535,695,"драма",2018
скиф,6.531,10652,"драма, история, фэнтези",2018
бамблби,6.53,31407,"фантастика, боевик, приключения",2018
девочка,6.525,2657,"драма",2018
безупречная жизнь,6.521,1212,"триллер",2018
незаменимый ты,6.518,667,"драма, мелодрама, комедия",2018
звёзды,6.516,883,"драма, комедия",2018
романовы,6.514,661,"драма",2018
мэри поппинс возвращается,6.508,9446,"мюзикл, фэнтези, комедия",2018
подстава,6.506,4388,"мелодрама, комедия",2018
стертая личность,6.505,4359,"драма, биография",2018
лапси,6.504,669,"драма",2018
сердцеед,6.502,3660,"комедия, мелодрама, история",2018
суспирия,6.498,15344,"ужасы, фэнтези, триллер",2018
топор,6.498,874,"военный, история, драма",2018
ведьма,6.496,636,"боевик, триллер, фантастика",2018
не в себе,6.488,17005,"триллер, детектив",2018
код красный,6.484,926,"драма, мелодрама, биография",2018
амбивалентность,6.483,1400,"драма, триллер",2018
расскажи мне сказку,6.481,1204,"триллер",2018
переправа,6.48,1315,"фантастика, драма, приключения",2018
8 подруг оушена,6.479,48436,"боевик, триллер, комедия",2018
маленькая ведьма,6.475,615,"фэнтези, драма, комедия",2018
убийства по алфавиту,6.474,1643,"триллер, драма, криминал",2018
от семьи не убежишь,6.473,5397,"комедия",2018
на месте принцессы,6.472,1609,"мелодрама",2018
чёрная пантера,6.468,101534,"фантастика, боевик, приключения",2018
раздражительность,6.466,2062,"триллер, драма, мелодрама",2018
вечная жизнь александра христофорова,6.463,2888,"комедия",2018
мертвое озеро,6.462,3685,"триллер, детектив, криминал",2018
плейбой под прикрытием,6.457,1961,"боевик, комедия, криминал",2018
удивительный мир марвена,6.456,1892,"фэнтези, драма, комедия",2018
операция в красном море,6.456,638,"боевик",2018
бэтмен готэм в газовом свете,6.453,1907,"мультфильм, фэнтези, боевик",2018
старик с пистолетом,6.453,1860,"драма, комедия, криминал",2018
реинкарнация,6.452,30348,"ужасы, триллер, драма",2018
операция финал,6.451,1697,"триллер, драма, военный",2018
донбасс,6.443,2144,"драма",2018
счастье в волосах,6.443,566,"драма, мелодрама, комедия",2018
гоголь страшная месть,6.441,19860,"детектив, приключения, триллер",2018
собибор,6.438,24530,"военный, драма",2018
бизнесмены,6.433,626,"драма, криминал",2018
на границе миров,6.431,3914,"фэнтези, триллер, драма",2018
свинья,6.43,833,"ужасы, драма, комедия",2018
под сильверлэйк,6.412,9659,"триллер, драма, комедия",2018
калибр,6.411,2175,"триллер",2018
смешарики дежавю,6.405,2356,"мультфильм, комедия, приключения",2018
закат,6.398,617,"драма",2018
голая джульетта,6.397,1676,"драма, мелодрама, комедия",2018
слоны могут играть в футбол,6.392,1913,"мелодрама",2018
два билета домой,6.391,585,"драма",2018
дикие предки,6.39,3276,"мультфильм",2018
будка поцелуев,6.388,6536,"мелодрама, комедия",2018
пришельцы в доме,6.388,2163,"мультфильм, фантастика, комедия",2018
сьерра берджесс  неудачница,6.385,2650,"драма, мелодрама, комедия",2018
тумбад,6.384,795,"триллер, ужасы",2018
красотка на всю голову,6.379,25877,"мелодрама, комедия",2018
пожизненный приговор,6.379,600,"драма, комедия",2018
90е весело и громко,6.37,1212,"комедия",2018
навсегда моя девушка,6.364,2163,"драма, мелодрама, музыка",2018
проза бродячих псов фильм,6.364,892,"аниме, мультфильм, боевик",2018
книжный клуб,6.36,6131,"комедия, мелодрама",2018
неправильное воспитание кэмерон пост,6.351,3085,"драма",2018
легкий как перышко,6.35,550,"триллер",2018
вы умрете или мы вернем вам деньги,6.349,6132,"боевик, комедия",2018
пекарь и красавица,6.342,1048,"комедия, мелодрама",2018
безумная свадьба,6.336,1135,"комедия",2018
однажды в стокгольме,6.333,1822,"драма, комедия, криминал",2018
опасный бизнес,6.332,11179,"боевик, драма, комедия",2018
лес,6.332,658,"драма",2018
мозаика,6.318,998,"триллер, драма, криминал",2018
простите за беспокойство,6.317,3362,"комедия, фантастика",2018
если билстрит могла бы заговорить,6.316,1779,"драма, мелодрама",2018
оверлорд,6.311,20486,"ужасы, фантастика, боевик",2018
сирена,6.307,1640,"фэнтези, драма",2018
офелия,6.306,632,"мелодрама, история",2018
маугли,6.302,6336,"фэнтези, драма, приключения",2018
облепиховое лето,6.301,689,"биография, драма",2018
дело собчака,6.299,1078,"документальный, биография",2018
лабиринты прошлого,6.287,3217,"триллер, драма, криминал",2018
гуль,6.285,504,"ужасы, триллер",2018
белый парень рик,6.284,4374,"драма, криминал, биография",2018
ваш репетитор,6.28,558,"драма",2018
честный человек,6.279,934,"комедия, мелодрама, драма",2018
первые,6.276,803,"фантастика, драма",2018
вдовы,6.272,14185,"триллер, драма, криминал",2018
папамама гусь,6.269,2380,"мультфильм, комедия, приключения",2018
логово монстра,6.26,12543,"ужасы, триллер, криминал",2018
патрик,6.254,3522,"комедия",2018
снежная королева зазеркалье,6.251,1079,"мультфильм, комедия, приключения",2018
багровая мята,6.25,7747,"боевик, триллер, драма",2018
гоголь вий,6.245,25366,"детектив, приключения, драма",2018
алекс стрейнджлав,6.237,1153,"драма, мелодрама, комедия",2018
я ты он она,6.235,1604,"комедия, мелодрама",2018
за бортом,6.231,12901,"комедия",2018
безжалостное солнце,6.231,795,"фантастика, драма, криминал",2018
спитак,6.226,958,"драма",2018
бельканто,6.216,1672,"триллер, драма, мелодрама",2018
пикник у висячей скалы,6.214,1605,"триллер, драма, мелодрама",2018
глупый и бессмысленный жест,6.214,718,"комедия, биография",2018
зои,6.211,7226,"фантастика, мелодрама",2018
галвестон,6.204,5123,"боевик, триллер, драма",2018
хроники хищных городов,6.201,42440,"фантастика, фэнтези, боевик",2018
начни сначала,6.199,10933,"драма, мелодрама, комедия",2018
жилбыл дэдпул,6.192,4076,"комедия, боевик, фантастика",2018
операция колибри,6.191,735,"триллер",2018
мария магдалина,6.19,3295,"драма",2018
ненасытная,6.19,1357,"триллер, драма, комедия",2018
агент джонни инглиш 30,6.188,14435,"боевик, комедия, приключения",2018
плащ и кинжал,6.186,1520,"фантастика, боевик, драма",2018
навстречу тьме,6.184,527,"ужасы, триллер",2018
за мечтой,6.178,1500,"драма, музыка",2018
апостол,6.174,5277,"ужасы, фэнтези, триллер",2018
кислота,6.172,15481,"драма",2018
три богатыря и наследница престола,6.172,7283,"мультфильм, приключения, семейный",2018
совершенство,6.17,824,"триллер, драма",2018
психиатрическая больница конджиам,6.168,1813,"ужасы, триллер",2018
соучастник,6.168,620,"триллер, драма, криминал",2018
мир юрского периода 2,6.158,49459,"фантастика, боевик, приключения",2018
курск,6.156,5244,"триллер, драма, история",2018
большой кошачий побег,6.153,1019,"мультфильм, комедия, приключения",2018
рэмпейдж,6.151,30217,"фантастика, боевик, приключения",2018
гонка века,6.138,4822,"драма, детектив, приключения",2018
